c_i_parent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.028,0.03,0.029,0.028,0.03,0.029,0.025,0.037,0.025,0.028,0.035,0.025,0.022,0.024,0.019,0.027,0.017,0.013,0.02,0.019,0.015,0.024,0.017,0.017,0.02,0.018,0.013,0.017,0.013,0.014,0.012,0.011,0.013,0.014,0.005,0.014,0.008,0.013,0.014,0.007,0.009,0.012,0.012,0.004,0.004,0.015,0.012,0.005,0.01,0.004,0.003,0.006,0.005,0.006,0.003,0.01,0.006,0.003,0.01,0.007,0.006,0.007,0.005,0.002,0.005,0.006,0.003,0.001,0.004,0.003,0.004,0.001,0.001,0.001,0.004,0.002,0.001,0.001,0.002,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.022,0.026,0.025,0.034,0.025,0.038,0.03,0.016,0.033,0.025,0.034,0.025,0.021,0.02,0.021,0.019,0.033,0.026,0.025,0.021,0.027,0.015,0.015,0.013,0.023,0.022,0.018,0.014,0.012,0.014,0.018,0.012,0.008,0.018,0.01,0.007,0.015,0.005,0.012,0.01,0.009,0.009,0.006,0.011,0.003,0.012,0.006,0.01,0.007,0.009,0.003,0.004,0.01,0.004,0.005,0.009,0.007,0.004,0.006,0.002,0.005,0.0,0.007,0.006,0.004,0.005,0.006,0.0,0.003,0.001,0.002,0.0,0.004,0.0,0.0,0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.015,0.027,0.021,0.032,0.029,0.024,0.023,0.034,0.031,0.024,0.029,0.027,0.027,0.02,0.023,0.025,0.014,0.019,0.024,0.022,0.015,0.022,0.014,0.018,0.018,0.011,0.022,0.014,0.01,0.013,0.018,0.015,0.011,0.013,0.014,0.01,0.01,0.014,0.014,0.007,0.01,0.013,0.013,0.011,0.01,0.009,0.007,0.006,0.004,0.01,0.012,0.012,0.003,0.006,0.008,0.004,0.004,0.005,0.005,0.006,0.004,0.002,0.005,0.006,0.004,0.003,0.004,0.003,0.001,0.003,0.002,0.0,0.003,0.003,0.003,0.001,0.004,0.0,0.004,0.002,0.002,0.003,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
14,0.007,0.021,0.029,0.033,0.028,0.021,0.028,0.021,0.014,0.023,0.023,0.019,0.02,0.023,0.034,0.024,0.025,0.027,0.021,0.018,0.018,0.013,0.015,0.019,0.022,0.018,0.019,0.017,0.016,0.016,0.009,0.011,0.01,0.013,0.013,0.019,0.013,0.012,0.017,0.012,0.009,0.01,0.006,0.007,0.01,0.005,0.011,0.007,0.01,0.007,0.007,0.005,0.012,0.008,0.011,0.004,0.011,0.008,0.009,0.004,0.005,0.002,0.006,0.006,0.008,0.003,0.003,0.004,0.002,0.006,0.004,0.008,0.006,0.003,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
15,0.011,0.022,0.02,0.026,0.025,0.022,0.025,0.019,0.028,0.026,0.025,0.023,0.021,0.016,0.021,0.016,0.027,0.021,0.013,0.026,0.011,0.021,0.01,0.021,0.016,0.014,0.018,0.019,0.026,0.012,0.013,0.018,0.024,0.018,0.011,0.015,0.015,0.007,0.013,0.005,0.012,0.011,0.01,0.013,0.022,0.011,0.009,0.012,0.007,0.006,0.005,0.006,0.004,0.005,0.006,0.009,0.011,0.005,0.008,0.007,0.01,0.007,0.002,0.008,0.006,0.004,0.0,0.006,0.002,0.003,0.001,0.002,0.0,0.003,0.001,0.002,0.0,0.001,0.001,0.003,0.002,0.002,0.003,0.001,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.0
16,0.006,0.016,0.018,0.028,0.019,0.02,0.027,0.031,0.024,0.021,0.027,0.026,0.023,0.021,0.029,0.023,0.014,0.015,0.023,0.024,0.014,0.019,0.019,0.012,0.016,0.022,0.026,0.012,0.009,0.017,0.016,0.015,0.016,0.011,0.015,0.014,0.015,0.014,0.011,0.013,0.009,0.013,0.011,0.012,0.01,0.017,0.01,0.011,0.005,0.009,0.008,0.01,0.006,0.007,0.01,0.002,0.006,0.009,0.01,0.006,0.007,0.007,0.003,0.005,0.001,0.008,0.004,0.003,0.003,0.004,0.004,0.005,0.001,0.004,0.001,0.002,0.002,0.0,0.0,0.002,0.002,0.001,0.003,0.0,0.001,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.016,0.012,0.023,0.027,0.028,0.018,0.024,0.023,0.017,0.023,0.021,0.027,0.025,0.021,0.021,0.016,0.024,0.025,0.019,0.018,0.02,0.013,0.023,0.009,0.02,0.015,0.017,0.021,0.016,0.018,0.015,0.01,0.01,0.01,0.021,0.018,0.01,0.012,0.013,0.01,0.019,0.008,0.012,0.007,0.011,0.012,0.01,0.012,0.005,0.01,0.006,0.005,0.005,0.005,0.004,0.01,0.005,0.008,0.004,0.007,0.005,0.005,0.009,0.002,0.008,0.003,0.004,0.002,0.005,0.007,0.006,0.007,0.005,0.003,0.003,0.003,0.004,0.006,0.004,0.001,0.002,0.0,0.001,0.001,0.002,0.0,0.001,0.0,0.001,0.001,0.003,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
18,0.012,0.01,0.014,0.023,0.013,0.02,0.022,0.018,0.03,0.023,0.021,0.018,0.02,0.033,0.022,0.015,0.021,0.017,0.016,0.02,0.019,0.018,0.019,0.017,0.025,0.017,0.016,0.013,0.016,0.016,0.013,0.015,0.016,0.016,0.017,0.012,0.014,0.013,0.011,0.018,0.01,0.01,0.019,0.012,0.014,0.006,0.01,0.015,0.006,0.008,0.006,0.004,0.01,0.005,0.012,0.008,0.009,0.01,0.001,0.009,0.011,0.006,0.004,0.002,0.007,0.005,0.005,0.002,0.004,0.006,0.005,0.003,0.007,0.005,0.005,0.002,0.002,0.002,0.001,0.003,0.002,0.002,0.001,0.0,0.004,0.002,0.001,0.001,0.002,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
19,0.011,0.021,0.018,0.02,0.019,0.019,0.023,0.022,0.031,0.019,0.02,0.027,0.02,0.022,0.022,0.022,0.019,0.02,0.018,0.023,0.019,0.023,0.022,0.015,0.016,0.007,0.01,0.017,0.025,0.015,0.026,0.015,0.017,0.008,0.011,0.009,0.011,0.015,0.016,0.015,0.01,0.006,0.015,0.011,0.011,0.01,0.012,0.012,0.005,0.014,0.01,0.01,0.006,0.006,0.007,0.008,0.005,0.006,0.003,0.005,0.003,0.005,0.008,0.005,0.007,0.002,0.007,0.004,0.007,0.002,0.005,0.001,0.005,0.006,0.002,0.005,0.0,0.003,0.003,0.003,0.001,0.003,0.001,0.001,0.001,0.001,0.0,0.001,0.002,0.002,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0
20,0.009,0.012,0.018,0.01,0.02,0.013,0.013,0.015,0.021,0.021,0.022,0.022,0.023,0.026,0.019,0.021,0.021,0.017,0.017,0.019,0.016,0.014,0.021,0.022,0.019,0.023,0.013,0.016,0.02,0.01,0.019,0.019,0.024,0.015,0.018,0.016,0.011,0.019,0.013,0.01,0.01,0.01,0.015,0.009,0.008,0.013,0.007,0.01,0.007,0.009,0.011,0.003,0.013,0.009,0.007,0.01,0.007,0.01,0.007,0.009,0.009,0.004,0.01,0.004,0.005,0.008,0.005,0.005,0.006,0.006,0.004,0.003,0.003,0.003,0.001,0.003,0.001,0.001,0.005,0.005,0.002,0.003,0.005,0.0,0.003,0.001,0.003,0.003,0.0,0.004,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0
